file_id,prediction,margin,score_N,score_OR,score_IR,score_B,source_baseline_prediction,loo_prediction,rpm_540_prediction,rpm_660_prediction,branch_agreement,loo_agreement,rpm_agreement_fraction,review_flag
target/A.mat,B,0.076,0.138,0.28,0.226,0.356,B,B,B,B,True,True,1,False
target/B.mat,OR,0.02,0.032,0.37,0.35,0.248,N,OR,OR,OR,False,True,1,True
target/C.mat,IR,0.32,0,0.296,0.616,0.088,OR,IR,IR,IR,False,True,1,True
target/D.mat,B,0.338,0.068,0.062,0.266,0.604,B,B,B,B,True,True,1,False
target/E.mat,OR,0.028,0.008,0.35,0.322,0.32,B,B,IR,B,False,False,0,True
target/F.mat,B,0.322,0.088,0.09,0.25,0.572,B,B,B,B,True,True,1,False
target/G.mat,OR,0.18,0.032,0.454,0.274,0.24,N,OR,OR,OR,False,True,1,True
target/H.mat,IR,0.532,0.096,0.178,0.71,0.016,IR,IR,IR,IR,True,True,1,False
target/I.mat,IR,0.23,0,0.26,0.49,0.25,OR,IR,IR,IR,False,True,1,True
target/J.mat,IR,0.202,0,0.262,0.47,0.268,IR,IR,IR,IR,True,True,1,False
target/K.mat,IR,0.584,0,0.184,0.768,0.048,IR,IR,IR,IR,True,True,1,False
target/L.mat,B,0.00800000000000001,0.006,0.356,0.274,0.364,OR,B,IR,IR,False,True,0,True
target/M.mat,IR,0.464,0.01,0.218,0.682,0.09,IR,IR,IR,IR,True,True,1,False
target/N.mat,IR,0.014,0.234,0.212,0.284,0.27,N,B,B,B,False,False,0,True
target/O.mat,OR,0.036,0.052,0.35,0.314,0.284,OR,OR,OR,IR,True,True,0.5,True
target/P.mat,B,0.32,0.102,0.09,0.244,0.564,B,B,B,B,True,True,1,False
